,Unnamed: 0,id,date,sentiment,irony
0,0,1834000649903595542,2024-09-11,NEU,not ironic
1,1,1834000635462574334,2024-09-11,NEG,ironic
2,2,1834000634183352594,2024-09-11,NEU,ironic
3,3,1834000633264754758,2024-09-11,NEG,not ironic
4,4,1834000631633510556,2024-09-11,NEU,not ironic
5,5,1834000631511875945,2024-09-11,NEG,not ironic
6,6,1834000631272550908,2024-09-11,NEU,not ironic
7,7,1834000630660432211,2024-09-11,NEG,ironic
8,8,1834000627816394993,2024-09-11,NEU,ironic
9,9,1834000627120087427,2024-09-11,POS,not ironic
10,10,1834000623085518948,2024-09-11,NEU,not ironic
11,11,1834000615518728688,2024-09-11,NEG,not ironic
12,12,1834000609525334073,2024-09-11,NEG,ironic
13,13,1834000608057004137,2024-09-11,NEG,not ironic
14,14,1834000604731199685,2024-09-11,POS,not ironic
15,15,1834000604504691129,2024-09-11,NEG,ironic
16,16,1834000604290842643,2024-09-11,NEG,not ironic
17,17,1834000602227245324,2024-09-11,NEU,not ironic
18,18,1834000599039578329,2024-09-11,NEG,ironic
19,19,1834000594606096392,2024-09-11,NEU,ironic
20,20,1834000594467524857,2024-09-11,NEU,not ironic
21,21,1834000594077364380,2024-09-11,NEG,not ironic
22,22,1834000593863520505,2024-09-11,NEG,not ironic
23,23,1834000592357798109,2024-09-11,NEG,ironic
24,24,1834000585609412997,2024-09-11,NEU,not ironic
25,25,1834000582002069919,2024-09-11,POS,ironic
26,26,1834000572355105187,2024-09-11,POS,not ironic
27,27,1834000568555098120,2024-09-11,NEU,not ironic
28,28,1834000563748720710,2024-09-11,NEG,not ironic
29,29,1834000549500358849,2024-09-11,POS,ironic
30,30,1834000548082704697,2024-09-11,NEG,not ironic
31,31,1834000541917081678,2024-09-11,NEG,not ironic
32,32,1834000541099151480,2024-09-11,NEU,not ironic
33,33,1834000535881458129,2024-09-11,NEG,not ironic
34,34,1834000534514155743,2024-09-11,NEG,ironic
35,35,1834000534409273724,2024-09-11,NEG,not ironic
36,36,1834000533452931310,2024-09-11,NEU,ironic
37,37,1834000528197517460,2024-09-11,NEG,not ironic
38,38,1834000527106990144,2024-09-11,NEU,not ironic
39,39,1834000526947602838,2024-09-11,NEG,ironic
40,40,1834000525005590730,2024-09-11,NEU,not ironic
41,41,1834000521893495227,2024-09-11,NEG,ironic
42,42,1834000520727453952,2024-09-11,NEU,ironic
43,43,1834000520631255541,2024-09-11,NEG,ironic
44,44,1834000519335223483,2024-09-11,NEG,not ironic
45,45,1834000512611414076,2024-09-11,NEU,not ironic
46,46,1834000512540172700,2024-09-11,NEU,not ironic
47,47,1834000512510783813,2024-09-11,NEU,not ironic
48,48,1834000511562862605,2024-09-11,NEU,not ironic
49,49,1834000510069678488,2024-09-11,NEG,not ironic
50,50,1834000503723720959,2024-09-11,POS,not ironic
51,51,1834000503665021277,2024-09-11,POS,ironic
52,52,1834000502486348108,2024-09-11,NEU,ironic
53,53,1834000502087950737,2024-09-11,NEG,ironic
54,54,1834000500863500501,2024-09-11,NEU,not ironic
55,55,1834000499160613146,2024-09-11,NEU,not ironic
56,56,1834000490763260252,2024-09-11,POS,not ironic
57,57,1834000489110753322,2024-09-11,NEG,ironic
58,58,1834000487580139994,2024-09-11,NEU,not ironic
59,59,1834000486950719722,2024-09-11,NEG,ironic
60,60,1834000485981802994,2024-09-11,POS,not ironic
61,61,1834000485566873990,2024-09-11,NEU,not ironic
62,62,1834000483662344414,2024-09-11,POS,ironic
63,63,1834000481770692969,2024-09-11,NEU,ironic
64,64,1834000478125875204,2024-09-11,NEG,not ironic
65,65,1834000477308031291,2024-09-11,NEG,not ironic
66,66,1834000475609272487,2024-09-11,NEU,ironic
67,67,1834000474564960545,2024-09-11,NEU,ironic
68,68,1834000470777757847,2024-09-11,NEU,not ironic
69,69,1834000467464261899,2024-09-11,NEG,ironic
70,70,1834000464876372443,2024-09-11,NEG,ironic
71,71,1834000464762884104,2024-09-11,NEG,ironic
72,72,1834000462368178568,2024-09-11,NEU,not ironic
73,73,1834000461453533530,2024-09-11,NEU,ironic
