,Unnamed: 0,id,date,sentiment,irony
0,0,1.8601248185003876e+18,2024-11-23,NEG,not ironic
1,1,1.860124817326027e+18,2024-11-23,NEG,ironic
2,2,1.8601248152414129e+18,2024-11-23,NEG,ironic
3,3,1.8601248147381169e+18,2024-11-23,NEG,not ironic
4,4,1.860124813286896e+18,2024-11-23,POS,ironic
5,5,1.8601248103256883e+18,2024-11-23,NEU,not ironic
6,6,1.8601248093735767e+18,2024-11-23,POS,ironic
7,7,1.8601248082117596e+18,2024-11-23,NEU,ironic
8,8,1.8601248077588485e+18,2024-11-23,POS,ironic
9,9,1.8601248068402056e+18,2024-11-23,NEU,not ironic
10,10,1.860124806139851e+18,2024-11-23,NEU,not ironic
11,11,1.860124804705321e+18,2024-11-23,NEU,not ironic
12,12,1.860124802331345e+18,2024-11-23,NEG,ironic
13,13,1.860124799319835e+18,2024-11-23,POS,ironic
14,14,1.860124798904599e+18,2024-11-23,NEG,not ironic
15,15,1.86012479878715e+18,2024-11-23,NEU,ironic
16,16,1.8601247976085588e+18,2024-11-23,NEU,not ironic
17,17,1.860124794798428e+18,2024-11-23,NEG,not ironic
18,18,1.8601247930032128e+18,2024-11-23,NEG,ironic
19,19,1.8601247922944617e+18,2024-11-23,NEU,not ironic
20,20,1.8601247872528225e+18,2024-11-23,NEG,not ironic
21,21,1.8601247859819484e+18,2024-11-23,NEG,not ironic
22,22,1.8601247794975544e+18,2024-11-23,NEG,not ironic
23,23,1.8601247785076695e+18,2024-11-23,POS,ironic
24,24,1.8601247758988247e+18,2024-11-23,POS,not ironic
25,25,1.86012477394849e+18,2024-11-23,NEG,ironic
26,26,1.86012477335287e+18,2024-11-23,POS,not ironic
27,27,1.86012477174648e+18,2024-11-23,NEG,not ironic
28,28,1.860124770895037e+18,2024-11-23,NEU,not ironic
29,29,1.8601247707231155e+18,2024-11-23,NEU,not ironic
30,30,1.8601247704965775e+18,2024-11-23,NEU,not ironic
31,31,1.8601247688775844e+18,2024-11-23,POS,not ironic
32,32,1.8601247678835264e+18,2024-11-23,NEU,ironic
33,33,1.8601247670195e+18,2024-11-23,NEG,ironic
34,34,1.860124766910448e+18,2024-11-23,NEG,ironic
35,35,1.8601247643225623e+18,2024-11-23,NEG,ironic
36,36,1.8601247630390807e+18,2024-11-23,NEG,ironic
37,37,1.8601247611726405e+18,2024-11-23,NEU,ironic
38,38,1.8601247597549652e+18,2024-11-23,NEU,not ironic
39,39,1.8601247592977856e+18,2024-11-23,POS,not ironic
40,40,1.860124758748332e+18,2024-11-23,NEG,not ironic
41,41,1.860124758538617e+18,2024-11-23,NEG,not ironic
42,42,1.8601247574859e+18,2024-11-23,NEU,not ironic
43,43,1.8601247568776727e+18,2024-11-23,NEG,ironic
44,44,1.860124756525351e+18,2024-11-23,NEG,not ironic
45,45,1.86012475225555e+18,2024-11-23,POS,not ironic
46,46,1.8601247518025649e+18,2024-11-23,NEU,not ironic
47,47,1.860124750460392e+18,2024-11-23,NEG,not ironic
48,48,1.8601247484890647e+18,2024-11-23,NEU,not ironic
49,49,1.860124745267819e+18,2024-11-23,NEU,not ironic
50,50,1.8601247432671808e+18,2024-11-23,NEG,not ironic
51,51,1.860124741232898e+18,2024-11-23,NEU,not ironic
52,52,1.8601247405240817e+18,2024-11-23,NEG,not ironic
53,53,1.8601247404150292e+18,2024-11-23,NEU,not ironic
54,54,1.860124739995636e+18,2024-11-23,NEU,ironic
