,Unnamed: 0,id,date,sentiment,irony
0,0,1.8339707462314929e+18,2024-09-11,NEG,not ironic
1,1,1.8339707448516567e+18,2024-09-11,POS,ironic
2,2,1.833970739155985e+18,2024-09-11,NEU,ironic
3,3,1.8339707383843064e+18,2024-09-11,NEG,not ironic
4,4,1.83397073828334e+18,2024-09-11,NEU,not ironic
5,5,1.8339707376503035e+18,2024-09-11,NEG,ironic
6,6,1.833970736756556e+18,2024-09-11,NEU,not ironic
7,7,1.8339707351543565e+18,2024-09-11,NEG,not ironic
8,8,1.8339707289216128e+18,2024-09-11,NEG,not ironic
9,9,1.8339707288838804e+18,2024-09-11,POS,not ironic
10,10,1.833970727558808e+18,2024-09-11,NEG,not ironic
11,11,1.8339707267909064e+18,2024-09-11,NEG,not ironic
12,12,1.8339707250922373e+18,2024-09-11,NEU,ironic
13,13,1.8339707228650289e+18,2024-09-11,NEU,not ironic
14,14,1.833970722173031e+18,2024-09-11,NEU,not ironic
15,15,1.8339707214055176e+18,2024-09-11,NEU,ironic
16,16,1.833970721141204e+18,2024-09-11,NEU,not ironic
17,17,1.8339707209189297e+18,2024-09-11,NEU,not ironic
18,18,1.833970720713347e+18,2024-09-11,NEU,not ironic
19,19,1.8339707182474488e+18,2024-09-11,NEG,not ironic
20,20,1.8339707093848804e+18,2024-09-11,NEU,not ironic
21,21,1.83397070428006e+18,2024-09-11,NEU,not ironic
22,22,1.8339707023803067e+18,2024-09-11,NEG,not ironic
23,23,1.8339706975275628e+18,2024-09-11,POS,not ironic
24,24,1.8339706971038764e+18,2024-09-11,POS,not ironic
25,25,1.8339706969739144e+18,2024-09-11,NEG,not ironic
26,26,1.8339706967474504e+18,2024-09-11,NEU,not ironic
27,27,1.8339706953504689e+18,2024-09-11,POS,not ironic
28,28,1.833970694167953e+18,2024-09-11,NEU,not ironic
29,29,1.8339706891599544e+18,2024-09-11,POS,ironic
30,30,1.8339706848901527e+18,2024-09-11,NEU,not ironic
31,31,1.8339706791478072e+18,2024-09-11,NEG,not ironic
32,32,1.833970678166328e+18,2024-09-11,NEU,not ironic
33,33,1.8339706780911864e+18,2024-09-11,NEG,ironic
34,34,1.8339706773571505e+18,2024-09-11,NEU,not ironic
35,35,1.8339706754735844e+18,2024-09-11,NEU,not ironic
36,36,1.8339706750416727e+18,2024-09-11,NEG,ironic
37,37,1.8339706647406351e+18,2024-09-11,POS,ironic
38,38,1.8339706639773573e+18,2024-09-11,NEG,ironic
39,39,1.8339706632220388e+18,2024-09-11,NEU,not ironic
40,40,1.8339706623286728e+18,2024-09-11,NEU,not ironic
41,41,1.833970658264376e+18,2024-09-11,POS,not ironic
42,42,1.8339706504842767e+18,2024-09-11,NEU,not ironic
43,43,1.833970649427313e+18,2024-09-11,NEU,ironic
44,44,1.8339706488020708e+18,2024-09-11,NEU,not ironic
45,45,1.83397064806801e+18,2024-09-11,NEG,not ironic
46,46,1.8339706468306824e+18,2024-09-11,NEU,not ironic
47,47,1.8339706463315848e+18,2024-09-11,NEG,not ironic
48,48,1.8339706440414656e+18,2024-09-11,NEU,not ironic
49,49,1.8339706435968865e+18,2024-09-11,NEU,not ironic
50,50,1.8339706431355128e+18,2024-09-11,NEG,not ironic
51,51,1.8339706415459407e+18,2024-09-11,NEU,not ironic
52,52,1.8339706401323955e+18,2024-09-11,NEU,not ironic
53,53,1.833970639046054e+18,2024-09-11,NEU,ironic
54,54,1.8339706383584788e+18,2024-09-11,POS,not ironic
55,55,1.8339706358332585e+18,2024-09-11,NEU,not ironic
56,56,1.8339706354854287e+18,2024-09-11,NEU,not ironic
57,57,1.8339706336816287e+18,2024-09-11,NEU,not ironic
58,58,1.833970633598009e+18,2024-09-11,NEU,not ironic
59,59,1.8339706301541952e+18,2024-09-11,POS,not ironic
60,60,1.83397062949598e+18,2024-09-11,POS,not ironic
61,61,1.833970629198116e+18,2024-09-11,NEG,not ironic
62,62,1.8339706239256248e+18,2024-09-11,NEG,ironic
63,63,1.833970621656494e+18,2024-09-11,NEG,not ironic
64,64,1.8339706174747484e+18,2024-09-11,NEU,not ironic
65,65,1.8339706117117704e+18,2024-09-11,NEU,ironic
66,66,1.833970607827924e+18,2024-09-11,NEG,ironic
67,67,1.8339706051015644e+18,2024-09-11,NEU,not ironic
68,68,1.833970601629024e+18,2024-09-11,NEG,not ironic
69,69,1.8339705948087424e+18,2024-09-11,NEU,ironic
70,70,1.8339705913233208e+18,2024-09-11,NEU,not ironic
71,71,1.8339705908328607e+18,2024-09-11,NEG,ironic
72,72,1.83397058849237e+18,2024-09-11,NEG,ironic
73,73,1.833970583664808e+18,2024-09-11,NEG,ironic
74,74,1.8339705806949256e+18,2024-09-11,NEG,not ironic
75,75,1.83397058015384e+18,2024-09-11,NEU,not ironic
76,76,1.8339705795250424e+18,2024-09-11,NEU,ironic
77,77,1.8339705767735788e+18,2024-09-11,NEU,not ironic
78,78,1.8339705749825864e+18,2024-09-11,NEU,ironic
79,79,1.833970572142736e+18,2024-09-11,NEG,not ironic
80,80,1.8339705692570872e+18,2024-09-11,NEU,not ironic
81,81,1.8339705677809912e+18,2024-09-11,NEG,not ironic
82,82,1.8339705672815616e+18,2024-09-11,NEU,not ironic
83,83,1.833970565368976e+18,2024-09-11,NEG,ironic
84,84,1.833970564647568e+18,2024-09-11,POS,ironic
85,85,1.833970563091759e+18,2024-09-11,NEU,not ironic
86,86,1.833970562646844e+18,2024-09-11,NEU,not ironic
87,87,1.8339705613427348e+18,2024-09-11,NEG,ironic
88,88,1.8339705605623444e+18,2024-09-11,NEG,ironic
89,89,1.833970559056765e+18,2024-09-11,NEG,ironic
90,90,1.8339705504582577e+18,2024-09-11,NEU,not ironic
91,91,1.833970549157958e+18,2024-09-11,NEU,not ironic
92,92,1.8339705490741327e+18,2024-09-11,NEU,not ironic
93,93,1.8339705470611287e+18,2024-09-11,NEG,not ironic
94,94,1.8339705461548524e+18,2024-09-11,NEG,not ironic
95,95,1.83397054530338e+18,2024-09-11,NEU,not ironic
96,96,1.833970543399502e+18,2024-09-11,NEG,not ironic
97,97,1.8339705433991447e+18,2024-09-11,NEU,not ironic
98,98,1.8339705393141844e+18,2024-09-11,NEU,ironic
99,99,1.8339705364366664e+18,2024-09-11,NEU,not ironic
100,100,1.8339705361682227e+18,2024-09-11,NEU,not ironic
101,101,1.833970532179387e+18,2024-09-11,NEU,ironic
102,102,1.8339705270245952e+18,2024-09-11,NEG,not ironic
103,103,1.833970524680004e+18,2024-09-11,NEU,not ironic
104,104,1.8339705225621711e+18,2024-09-11,NEU,ironic
105,105,1.83397052234829e+18,2024-09-11,NEG,ironic
106,106,1.83397051985268e+18,2024-09-11,NEU,ironic
107,107,1.8339705134270057e+18,2024-09-11,NEU,not ironic
108,108,1.8339705108181489e+18,2024-09-11,NEU,not ironic
109,109,1.833970510754898e+18,2024-09-11,NEG,ironic
110,110,1.8339705093917527e+18,2024-09-11,NEG,ironic
111,111,1.8339705063676928e+18,2024-09-11,NEU,not ironic
112,112,1.8339705038343537e+18,2024-09-11,NEU,not ironic
